

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"    2012";"    Männlich";"             Unter 1 Jahr";"";"1";"";"";"1";"";"4";"";"";"9";"";"";"";"";"";"";"15";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"1";"";"";"";"";"2";"";"";"7";"2";"";"";"";"";"";"12";"";"";
;;"             5 bis unter 10 Jahre";"";"3";"";"";"";"";"2";"";"";"1";"";"";"";"";"";"1";"6";"1";"";
;;"             10 bis unter 15 Jahre";"251";"338";"29";"42";"13";"22";"138";"37";"181";"399";"118";"26";"66";"66";"41";"47";"1.556";"258";"7";
;;"             15 bis unter 20 Jahre";"1.916";"3.108";"186";"227";"87";"95";"966";"175";"1.512";"3.268";"952";"275";"461";"322";"466";"239";"12.831";"1.424";"125";
;;"             20 bis unter 25 Jahre";"1.133";"1.922";"112";"141";"58";"33";"459";"152";"893";"1.698";"494";"142";"366";"214";"306";"240";"7.250";"1.113";"164";
;;"                25 bis unter 30 Jahre";"706";"1.118";"123";"132";"38";"48";"339";"136";"557";"976";"340";"98";"346";"268";"207";"197";"4.550";"1.079";"155";
;;"                30 bis unter 35 Jahre";"699";"968";"124";"126";"37";"55";"362";"143";"559";"1.083";"364";"76";"291";"221";"166";"230";"4.493";"1.011";"139";
;;"                35 bis unter 40 Jahre";"659";"872";"133";"99";"40";"55";"316";"133";"539";"1.258";"318";"78";"256";"172";"182";"120";"4.450";"780";"144";
;;"                40 bis unter 45 Jahre";"907";"1.180";"156";"191";"69";"90";"418";"182";"850";"1.808";"538";"81";"403";"352";"292";"253";"6.389";"1.381";"141";
;;"             45 bis unter 50 Jahre";"1.212";"1.370";"197";"285";"70";"78";"539";"303";"954";"2.136";"499";"132";"476";"490";"389";"364";"7.576";"1.918";"130";
;;"             50 bis unter 55 Jahre";"1.152";"1.382";"144";"278";"43";"82";"523";"306";"991";"2.128";"601";"134";"483";"415";"329";"358";"7.509";"1.840";"76";
;;"             55 bis unter 60 Jahre";"772";"988";"146";"178";"43";"39";"412";"192";"638";"1.594";"403";"115";"382";"275";"220";"242";"5.370";"1.269";"61";
;;"             60 bis unter 65 Jahre";"486";"697";"67";"103";"28";"32";"211";"124";"494";"962";"239";"73";"226";"166";"155";"130";"3.444";"749";"21";
;;"          65 bis unter 70 Jahre";"328";"422";"40";"52";"25";"14";"139";"25";"202";"451";"115";"43";"113";"73";"74";"75";"1.853";"338";"12";
;;"          70 bis unter 75 Jahre";"275";"341";"28";"33";"13";"9";"93";"36";"199";"439";"120";"31";"100";"58";"75";"48";"1.623";"275";"8";
;;"             75 bis unter 80 Jahre";"151";"154";"11";"27";"6";"16";"53";"9";"83";"206";"53";"18";"56";"48";"32";"23";"783";"163";"4";
;;"             80 bis unter 85 Jahre";"52";"65";"6";"7";"5";"5";"19";"7";"36";"76";"22";"5";"11";"3";"7";"10";"298";"38";"1";
