

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;K70 Alkoholische Leberkrankheit
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
;;"             85 bis unter 90 Jahre";"29";"19";"1";"1";"";"2";"6";"2";"7";"29";"4";"";"4";"2";"2";"1";"99";"10";"";
;;"                90 bis unter 95 Jahre";"1";"4";"1";"1";"";"1";"2";"1";"3";"1";"";"";"";"";"";"2";"13";"4";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"    Unbekannt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Weiblich";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             20 bis unter 25 Jahre";"1";"4";"2";"";"";"";"";"2";"1";"4";"2";"";"";"";"1";"";"15";"2";"";
;;"                25 bis unter 30 Jahre";"1";"10";"4";"6";"";"";"2";"4";"5";"6";"4";"";"";"2";"1";"1";"33";"13";"1";
;;"                30 bis unter 35 Jahre";"4";"26";"5";"5";"";"4";"10";"7";"8";"31";"10";"3";"19";"3";"1";"4";"102";"38";"";
;;"                35 bis unter 40 Jahre";"39";"42";"26";"5";"3";"18";"27";"14";"23";"66";"16";"5";"13";"1";"9";"8";"274";"41";"1";
;;"                40 bis unter 45 Jahre";"79";"83";"29";"19";"4";"29";"46";"17";"31";"106";"30";"15";"33";"23";"18";"13";"470";"105";"3";
;;"             45 bis unter 50 Jahre";"162";"160";"51";"57";"10";"29";"95";"46";"99";"271";"63";"22";"80";"40";"33";"35";"995";"258";"3";
;;"             50 bis unter 55 Jahre";"188";"297";"70";"99";"14";"40";"109";"57";"169";"346";"95";"39";"145";"59";"65";"65";"1.432";"425";"4";
;;"             55 bis unter 60 Jahre";"170";"274";"79";"84";"25";"45";"77";"54";"151";"403";"95";"40";"110";"73";"66";"56";"1.425";"377";"2";
;;"             60 bis unter 65 Jahre";"222";"264";"111";"87";"15";"40";"105";"54";"135";"333";"104";"23";"108";"81";"60";"50";"1.412";"380";"2";
;;"          65 bis unter 70 Jahre";"176";"208";"54";"40";"14";"26";"66";"25";"73";"204";"80";"13";"72";"28";"38";"33";"952";"198";"2";
;;"          70 bis unter 75 Jahre";"154";"168";"71";"36";"5";"20";"82";"21";"74";"208";"58";"7";"78";"32";"49";"39";"896";"206";"4";
;;"             75 bis unter 80 Jahre";"81";"64";"30";"29";"6";"11";"28";"18";"30";"96";"21";"1";"24";"10";"22";"9";"390";"90";"";
;;"             80 bis unter 85 Jahre";"30";"20";"3";"7";"1";"5";"6";"2";"9";"45";"11";"4";"9";"6";"6";"13";"140";"37";"";
;;"             85 bis unter 90 Jahre";"7";"13";"6";"";"2";"";"6";"2";"5";"19";"1";"1";"2";"1";"";"";"60";"5";"";
;;"                90 bis unter 95 Jahre";"3";"1";"1";"";"";"";"";"";"";"1";"";"1";"1";"";"";"";"7";"1";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"    Unbekannt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Unbekannt";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             20 bis unter 25 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                25 bis unter 30 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                30 bis unter 35 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                35 bis unter 40 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                40 bis unter 45 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             45 bis unter 50 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             50 bis unter 55 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             55 bis unter 60 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             60 bis unter 65 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          65 bis unter 70 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          70 bis unter 75 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             75 bis unter 80 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             80 bis unter 85 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             85 bis unter 90 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                90 bis unter 95 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"    Unbekannt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"    2012";"    Männlich";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"";"";"";"";"";"";"";"1";"";"1";"";"4";"";"";"";"2";"4";"";
;;"             20 bis unter 25 Jahre";"1";"3";"2";"";"";"1";"4";"2";"3";"7";"";"";"";"1";"2";"";"23";"3";"";
;;"                25 bis unter 30 Jahre";"14";"17";"8";"6";"1";"1";"10";"3";"6";"24";"5";"";"7";"12";"3";"11";"89";"39";"";
;;"                30 bis unter 35 Jahre";"34";"45";"12";"14";"2";"7";"22";"24";"15";"78";"13";"1";"14";"18";"4";"18";"233";"88";"5";
;;"                35 bis unter 40 Jahre";"58";"69";"42";"31";"12";"25";"32";"30";"41";"144";"31";"2";"35";"31";"17";"40";"473";"167";"11";
;;"                40 bis unter 45 Jahre";"142";"192";"78";"79";"18";"36";"92";"65";"112";"271";"79";"19";"133";"64";"35";"77";"1.074";"418";"7";
;;"             45 bis unter 50 Jahre";"280";"405";"170";"177";"26";"66";"156";"130";"174";"469";"115";"24";"272";"201";"90";"147";"1.975";"927";"13";
;;"             50 bis unter 55 Jahre";"412";"604";"193";"230";"25";"94";"241";"177";"297";"749";"167";"39";"382";"223";"123";"195";"2.944";"1.207";"4";
;;"             55 bis unter 60 Jahre";"507";"618";"212";"225";"25";"80";"311";"218";"329";"800";"203";"88";"486";"220";"108";"199";"3.281";"1.348";"13";
;;"             60 bis unter 65 Jahre";"556";"673";"191";"228";"40";"81";"236";"130";"325";"788";"218";"68";"406";"212";"105";"182";"3.281";"1.158";"23";
;;"          65 bis unter 70 Jahre";"384";"448";"175";"129";"35";"74";"187";"55";"238";"516";"141";"46";"273";"155";"75";"125";"2.319";"737";"11";
;;"          70 bis unter 75 Jahre";"370";"476";"135";"121";"22";"56";"177";"93";"186";"470";"167";"53";"272";"112";"89";"104";"2.201";"702";"3";
;;"             75 bis unter 80 Jahre";"215";"191";"63";"56";"7";"31";"70";"36";"109";"279";"83";"17";"123";"53";"34";"41";"1.099";"309";"2";
;;"             80 bis unter 85 Jahre";"84";"70";"15";"18";"1";"9";"40";"7";"29";"103";"33";"8";"24";"8";"7";"15";"399";"72";"";
