GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2003;15;Sachsen-Anhalt;35093;17211;5017;1634;4045;1710;17223;8699;339;163;8469;5005
2003;16;Thüringen;32983;16306;3091;1046;6591;2537;14545;7516;0;0;8756;5207
2002;01;Schleswig-Holstein;28909;14166;3144;1164;10263;4689;9017;4774;509;264;5976;3275
2002;02;Hamburg;14915;7244;1747;731;3645;1558;4410;2185;276;129;4837;2641
2002;03;Niedersachsen;89094;43060;8675;3089;21734;8965;38364;19447;1994;1085;18327;10474
2002;04;Bremen;7090;3560;607;252;1463;670;2861;1412;0;0;2159;1226
2002;05;Nordrhein-Westfalen;195485;96945;13685;5140;44451;18692;79269;40617;6978;3654;51102;28842
2002;06;Hessen;59721;29170;5419;2067;14136;5961;23041;11592;736;383;16389;9167
2002;07;Rheinland-Pfalz;44498;22087;4049;1496;14259;6348;15437;8194;596;306;10157;5743
2002;08;Baden-Württemberg;117542;57208;9146;3497;38191;16722;44225;22904;238;133;25742;13952
2002;09;Bayern;133622;65920;12717;4522;47629;20995;46950;25877;48;26;26278;14500
2002;10;Saarland;10818;5264;1020;378;3479;1490;3758;1975;135;68;2426;1353
2002;11;Berlin;38044;18804;4211;1736;7786;3203;14182;7141;0;0;11865;6724
2002;12;Brandenburg;36945;18139;3283;1017;7049;2641;15887;8043;82;52;10644;6386
2002;13;Mecklenburg-Vorpommern;26806;13460;2886;919;5130;2154;12892;6777;257;165;5641;3445
2002;14;Freistaat Sachsen;59160;29166;5951;1962;7434;2891;31514;15888;0;0;14261;8425
2002;15;Sachsen-Anhalt;34208;17052;4893;1565;1410;588;18957;9485;254;133;8694;5281
2002;16;Thüringen;32774;16034;3881;1384;6067;2281;14347;7393;0;0;8479;4976
2001;01;Schleswig-Holstein;28043;13700;3072;1166;9802;4376;8699;4595;461;272;6009;3291
2001;02;Hamburg;14661;7331;1867;749;3550;1592;4190;2118;235;124;4819;2748
2001;03;Niedersachsen;84547;41111;8512;3115;19415;8098;36735;18533;1797;1006;18088;10359
2001;04;Bremen;7095;3573;678;255;1485;672;2762;1437;0;0;2170;1209
2001;05;Nordrhein-Westfalen;197332;97171;13418;4920;43689;18403;79422;40435;6572;3497;54231;29916
2001;06;Hessen;61133;30332;6012;2239;14054;6068;23418;12147;886;448;16763;9430
2001;07;Rheinland-Pfalz;43826;21346;4129;1445;13733;5995;15492;8165;601;316;9871;5425
2001;08;Baden-Württemberg;115065;55528;9152;3480;37299;16303;43096;21932;249;137;25269;13676
2001;09;Bayern;133938;65663;13666;4960;48177;21334;46407;25480;53;25;25635;13864
2001;10;Saarland;10936;5292;1239;402;3336;1471;3609;1936;128;61;2624;1422
2001;11;Berlin;38984;19415;4280;1716;7853;3429;14834;7579;0;0;12017;6691
2001;12;Brandenburg;37673;18778;3359;997;7310;2866;16365;8456;0;0;10639;6459
2001;13;Mecklenburg-Vorpommern;22525;10629;3076;1017;5943;2539;13022;6797;141;91;343;185
2001;14;Freistaat Sachsen;61479;30672;6801;2319;6637;2434;32414;16552;0;0;15627;9367
2001;15;Sachsen-Anhalt;28841;13143;5207;1673;4173;1639;18904;9527;188;110;369;194
2001;16;Thüringen;35255;17555;4413;1649;6362;2390;15205;7931;0;0;9275;5585
2000;01;Schleswig-Holstein;27505;13553;2854;1003;9419;4288;8706;4589;431;240;6095;3433
2000;02;Hamburg;15061;7328;1884;741;3408;1442;4579;2342;256;133;4934;2670
2000;03;Niedersachsen;83482;40545;8447;2996;19040;8000;35939;18326;2090;1214;17966;10009
2000;04;Bremen;7347;3756;657;259;1508;664;3011;1611;19;9;2152;1213
2000;05;Nordrhein-Westfalen;195937;96607;11906;4379;43943;18526;81471;41847;5090;2743;53527;29112
2000;06;Hessen;61959;30541;6468;2389;13754;5957;24070;12341;850;442;16817;9412
2000;07;Rheinland-Pfalz;44198;21572;4284;1480;13697;5916;16036;8492;0;0;10181;5684
2000;08;Baden-Württemberg;115051;55995;9182;3441;37035;16318;43252;22433;211;126;25371;13677
2000;09;Bayern;129858;63633;12152;4221;47150;20739;44466;24548;42;18;26048;14107
2000;10;Saarland;10518;5115;1108;413;3075;1339;3655;1918;118;47;2562;1398
2000;11;Berlin;36653;17839;4612;1797;7559;3197;12828;6310;0;0;11654;6535
2000;12;Brandenburg;37750;18838;3348;984;7224;2773;16502;8597;80;39;10596;6445
2000;13;Mecklenburg-Vorpommern;28463;14216;3123;923;5750;2378;12819;6799;403;228;6368;3888
